Description,SampleDate,salinityLoad,phosphateLoad,particulateOrganicPhosphorusLoad,ammoniumLoad,particulateOrganicNitrogenLoad,dissolvedSilicaLoad,chlorophyllaLoad,Flow
The River Murray at Barrages,2017-08-29,3268.685,42.0944,732.9361,555.7919,9930.0203,6160.253,268.8803,5861.6
The River Murray at Barrages,2017-08-30,3397.113,47.1948,831.7536,538.5319,11268.8293,6627.0784,316.832,6231.3
The River Murray at Barrages,2017-08-31,3456.553,55.1295,977.6855,602.3036,13245.948,7753.969,376.7037,7109.2
The River Murray at Barrages,2017-09-01,5926.447,106.7337,1745.9823,507.5645,23655.3838,11157.7167,775.0775,11585.6
The River Murray at Barrages,2017-09-02,3880.473,82.7047,1305.3574,150.4372,17685.2408,7194.4242,614.9939,7526.1
The River Murray at Barrages,2017-09-03,50.025,0.8492,14.7472,4.8002,199.7981,99.4868,6.2755,6.6
The River Murray at Barrages,2017-09-04,10.682,0.1583,2.8016,0.7229,37.9569,17.9291,1.2054,0.0
The River Murray at Barrages,2017-09-05,41.605,0.5927,9.9184,3.5848,134.3773,72.0883,4.1793,0.0
The River Murray at Barrages,2017-09-06,1223.916,25.1721,355.2851,37.0547,4813.5199,2016.4346,169.0777,2191.2
The River Murray at Barrages,2017-09-07,3298.202,57.7695,886.1352,96.0199,12005.6804,4987.8291,408.4379,5907.1
The River Murray at Barrages,2017-09-08,1454.803,20.5364,358.5466,138.3128,4857.723,2829.0275,146.674,2770.5
The River Murray at Barrages,2017-09-09,1239.287,16.6196,277.4755,201.6189,3759.3404,3143.3628,102.7057,2514.9
The River Murray at Barrages,2017-09-10,1323.419,18.9446,311.2571,209.8514,4216.9561,3505.8684,117.779,2739.0
The River Murray at Barrages,2017-09-11,2216.263,33.1727,514.6941,296.6544,6973.2774,5537.7249,203.0778,4461.0
The River Murray at Barrages,2017-09-12,1774.004,27.4456,414.4494,229.6408,5615.034,4545.3095,165.2571,3526.0
The River Murray at Barrages,2017-09-13,54.213,0.8628,13.4205,3.5362,181.8231,103.2184,5.7508,11.0
The River Murray at Barrages,2017-09-14,662.767,11.3861,165.4426,39.6853,2241.5213,1286.9574,71.2315,1119.1
The River Murray at Barrages,2017-09-15,1276.438,21.3253,308.2247,74.4206,4176.0057,2469.7615,132.0068,2155.1
The River Murray at Barrages,2017-09-16,1220.204,23.8701,335.6875,81.7639,4548.1302,2780.2262,143.0225,2338.4
The River Murray at Barrages,2017-09-17,1484.935,29.8973,412.0845,96.705,5583.2171,3448.4152,175.2503,2970.7
The River Murray at Barrages,2017-09-18,967.095,19.6852,271.9711,52.7644,3684.7582,2118.612,116.5425,1841.6
The River Murray at Barrages,2017-09-19,853.704,18.218,245.0232,48.2333,3319.683,1984.1001,104.5348,1752.4
The River Murray at Barrages,2017-09-20,1432.151,28.1036,360.5727,74.4814,4885.1724,3130.1714,152.0984,2621.5
The River Murray at Barrages,2017-09-21,1234.352,27.0414,339.3976,64.8366,4598.3304,2931.2444,142.8212,2381.4
The River Murray at Barrages,2017-09-22,1017.652,22.1722,282.0626,48.3873,3821.5371,2345.4717,120.0092,2060.2
The River Murray at Barrages,2017-09-23,472.258,9.6924,136.8351,16.2504,1853.9133,901.2224,60.6858,1016.7
The River Murray at Barrages,2017-09-24,280.927,5.8877,82.6234,8.5759,1119.4298,513.7202,36.7121,644.9
The River Murray at Barrages,2017-09-25,325.296,7.0236,95.8135,10.8276,1298.1411,647.4677,42.5033,747.7
The River Murray at Barrages,2017-09-26,941.673,20.8417,247.2735,38.2425,3350.138,2314.3437,105.7489,1949.9
The River Murray at Barrages,2017-09-27,1195.704,28.7098,318.177,41.1629,4310.7686,2857.3058,131.4545,2215.1
The River Murray at Barrages,2017-09-28,881.437,22.1629,240.496,27.9898,3258.306,2128.3607,98.6714,1638.4
The River Murray at Barrages,2017-09-29,1015.175,25.2795,269.3763,29.3585,3649.6135,2429.2565,110.3377,1874.1
The River Murray at Barrages,2017-09-30,919.9,24.3618,252.5096,25.6578,3421.1053,2352.4236,102.786,1723.9
The River Murray at Barrages,2017-10-01,1045.05,28.5521,291.1364,27.1462,3944.4459,2769.524,118.542,2019.2
The River Murray at Barrages,2017-10-02,1202.684,31.7915,320.6831,30.7972,4344.6337,3103.6699,130.8397,2244.4
The River Murray at Barrages,2017-10-03,1298.237,33.749,337.3236,32.8427,4570.2098,3257.4277,137.586,2342.7
The River Murray at Barrages,2017-10-04,1245.483,33.7277,332.0785,31.4826,4499.1573,3076.9251,134.1045,2207.6
The River Murray at Barrages,2017-10-05,816.354,24.0025,224.7556,19.4439,3045.1037,1926.9345,87.762,1327.5
The River Murray at Barrages,2017-10-06,1087.38,31.9291,297.4181,26.7036,4029.5601,2607.4948,116.9279,1815.7
The River Murray at Barrages,2017-10-07,1306.338,37.2373,347.2714,31.9086,4704.8801,3054.0588,137.3784,2145.1
The River Murray at Barrages,2017-10-08,1010.533,30.44,279.5528,25.3909,3787.53,2413.5219,110.0662,1650.1
The River Murray at Barrages,2017-10-09,930.429,27.7393,248.2058,22.7058,3362.8175,2163.594,97.2171,1508.4
The River Murray at Barrages,2017-10-10,1056.425,31.9075,282.8631,27.0099,3832.3756,2545.181,111.3126,1802.9
The River Murray at Barrages,2017-10-11,911.833,28.0874,243.9791,23.058,3305.4578,2169.7699,95.5135,1512.1
The River Murray at Barrages,2017-10-12,798.475,24.812,213.1942,20.0541,2888.4648,1873.6606,83.3144,1325.5
The River Murray at Barrages,2017-10-13,878.917,28.0568,235.9861,23.4227,3197.2523,2175.9893,92.5122,1505.9
The River Murray at Barrages,2017-10-14,1006.888,31.9353,265.412,27.0585,3595.9382,2489.9853,104.2392,1716.1
The River Murray at Barrages,2017-10-15,1133.444,36.0481,298.2674,30.6552,4040.9756,2789.3944,117.2161,1873.8
The River Murray at Barrages,2017-10-16,1579.013,45.3995,409.6905,45.8741,5550.5408,3927.1261,164.3055,2639.1
The River Murray at Barrages,2017-10-17,2070.462,56.0446,545.5019,63.6135,7390.7509,5204.981,220.9169,3782.7
The River Murray at Barrages,2017-10-18,2151.956,56.9043,565.3005,65.9218,7658.9686,5313.9236,228.3117,3947.5
The River Murray at Barrages,2017-10-19,1540.864,41.8448,404.9834,47.384,5486.7742,3840.3705,162.5673,2951.2
The River Murray at Barrages,2017-10-20,1319.136,37.599,344.4238,40.0095,4666.2897,3308.9123,137.113,2422.6
The River Murray at Barrages,2017-10-21,1188.472,35.7277,312.7811,34.202,4237.7403,2907.1747,122.9707,2016.7
The River Murray at Barrages,2017-10-22,1194.454,35.8623,314.2153,34.5364,4257.182,2920.7137,123.2869,2003.4
The River Murray at Barrages,2017-10-23,1308.501,38.9434,342.5261,38.634,4640.7419,3232.7601,134.4368,2223.2
The River Murray at Barrages,2017-10-24,1404.117,40.8116,360.4795,41.0393,4883.8606,3409.6051,141.2358,2324.6
The River Murray at Barrages,2017-10-25,1204.852,35.8735,314.037,36.1633,4254.6344,2999.6455,122.8708,2057.3
The River Murray at Barrages,2017-10-26,832.544,19.5551,208.5326,29.7123,2825.3247,2180.12,82.9611,1456.8
The River Murray at Barrages,2017-10-27,776.73,15.4846,193.1732,29.6788,2617.2156,2045.1653,76.6931,1495.5
The River Murray at Barrages,2017-10-28,518.507,10.803,135.9768,16.3523,1842.2413,1162.4475,51.8436,1053.6
The River Murray at Barrages,2017-10-29,383.576,7.8442,99.7214,11.904,1351.0462,844.0114,37.6571,893.8
The River Murray at Barrages,2017-10-30,88.796,1.8588,23.1961,2.6872,314.2749,192.7642,8.6694,0.0
The River Murray at Barrages,2017-10-31,407.469,8.0236,98.5317,15.7864,1334.9681,1066.6173,38.1452,832.4
The River Murray at Barrages,2017-11-01,628.382,11.9963,146.6151,29.3794,1986.3695,1904.7988,58.4127,1255.5
The River Murray at Barrages,2017-11-02,758.088,14.092,171.8025,38.5968,2327.6278,2523.116,69.4632,1524.7
The River Murray at Barrages,2017-11-03,702.821,13.173,162.5015,32.4758,2201.6904,2208.5828,63.7959,1343.7
The River Murray at Barrages,2017-11-04,946.12,17.2391,213.4941,46.2761,2892.5014,3189.7164,84.4176,1748.2
The River Murray at Barrages,2017-11-05,920.829,18.0119,227.0071,41.7017,3075.6069,3005.8036,86.5231,1606.5
The River Murray at Barrages,2017-11-06,989.053,17.9395,226.7406,43.742,3071.924,3212.0128,86.4606,1626.7
The River Murray at Barrages,2017-11-07,914.543,17.1401,218.4865,37.2352,2960.1162,2846.2809,81.1264,1461.1
The River Murray at Barrages,2017-11-08,1023.368,18.9937,242.7893,44.5839,3289.4567,3465.6301,90.4471,1757.1
The River Murray at Barrages,2017-11-09,1011.413,18.3747,236.3509,38.4669,3202.1471,3108.4422,85.9118,1616.2
The River Murray at Barrages,2017-11-10,1156.896,19.3514,250.1629,43.1698,3389.3067,3559.9225,90.9001,1793.0
The River Murray at Barrages,2017-11-11,1013.278,17.9922,233.3899,36.1131,3161.9808,3088.3678,83.0215,1613.9
The River Murray at Barrages,2017-11-12,1066.717,19.0297,248.6253,40.3577,3368.4659,3532.7829,88.1794,1754.5
The River Murray at Barrages,2017-11-13,928.929,18.1045,236.7459,35.1198,3207.5796,3178.1201,82.5036,1622.3
The River Murray at Barrages,2017-11-14,931.528,17.2888,227.7037,36.264,3085.0002,3370.1393,79.1754,1741.2
The River Murray at Barrages,2017-11-15,581.117,10.9526,142.5809,20.4831,1931.726,1969.1195,48.727,1073.0
The River Murray at Barrages,2017-11-16,558.37,10.9297,142.8855,19.745,1935.9181,1954.2299,48.2639,1013.3
The River Murray at Barrages,2017-11-17,769.833,13.8801,183.0544,24.3723,2480.0942,2479.4378,61.1351,1282.5
The River Murray at Barrages,2017-11-18,1000.855,18.2072,245.4774,35.2855,3325.8558,3731.608,81.3769,1827.2
The River Murray at Barrages,2017-11-19,1016.755,18.7618,251.9536,33.3514,3413.5159,3620.2115,82.4511,1817.2
The River Murray at Barrages,2017-11-20,1184.083,20.5978,281.2198,38.1747,3810.0945,4324.4528,90.9472,2145.0
The River Murray at Barrages,2017-11-21,1148.589,19.9992,274.4417,36.1088,3718.2985,4238.0721,87.6512,2138.4
The River Murray at Barrages,2017-11-22,1343.033,23.1094,324.0422,42.6785,4390.2082,5251.646,101.955,2646.9
The River Murray at Barrages,2017-11-23,1258.043,22.6467,314.4536,38.0178,4260.3411,4748.601,98.1473,2701.4
The River Murray at Barrages,2017-11-24,1372.96,24.4201,345.9259,41.7275,4686.6905,5507.2011,106.168,2979.9
The River Murray at Barrages,2017-11-25,1462.133,25.8332,363.2041,41.0671,4920.8755,5500.3077,110.7405,3031.2
The River Murray at Barrages,2017-11-26,1427.523,26.1653,370.2682,40.5945,5016.6208,5659.1101,111.4656,2989.1
The River Murray at Barrages,2017-11-27,1652.225,30.5956,433.9876,45.7479,5879.7967,6563.4937,129.3913,3347.7
The River Murray at Barrages,2017-11-28,1804.771,35.3863,497.5751,50.1441,6741.2954,7208.3891,147.9525,3496.7
The River Murray at Barrages,2017-11-29,1780.452,34.6984,484.4794,47.2255,6563.9203,6845.2546,143.4295,3486.0
The River Murray at Barrages,2017-11-30,1364.123,26.4856,372.527,35.3595,5047.1492,5419.8615,108.5453,3029.9
The River Murray at Barrages,2017-12-01,1057.994,21.2931,295.2703,27.3156,4000.4493,4167.6726,85.9189,2300.0
The River Murray at Barrages,2017-12-02,845.985,18.9598,247.5725,24.0021,3354.2332,2981.5494,75.4476,1812.6
The River Murray at Barrages,2017-12-03,1011.508,23.1073,299.7989,29.9788,4061.7968,3534.468,92.5801,2190.4
The River Murray at Barrages,2017-12-04,1372.833,27.9083,383.982,38.6355,5202.4351,5312.9731,115.1111,3013.3
The River Murray at Barrages,2017-12-05,2327.664,50.7282,649.9699,66.175,8806.1999,9125.2642,194.1778,5113.2
The River Murray at Barrages,2017-12-06,3199.3,71.0801,852.6259,88.3376,11551.5349,11584.0449,257.0493,6599.5
The River Murray at Barrages,2017-12-07,3140.265,64.5904,767.3301,81.115,10396.0745,10325.673,233.0357,6204.1
The River Murray at Barrages,2017-12-08,2882.964,63.1446,748.1082,80.834,10135.5548,9936.1688,229.28,6141.2
The River Murray at Barrages,2017-12-09,3170.66,65.299,770.0471,84.8169,10432.787,10148.9866,237.6385,6520.7
The River Murray at Barrages,2017-12-10,3479.079,69.8296,822.1221,92.3684,11138.457,10730.7614,255.6946,7056.7
The River Murray at Barrages,2017-12-11,5010.303,90.4843,1068.2619,125.2112,14473.2807,12967.6713,342.3498,9022.0
The River Murray at Barrages,2017-12-12,7028.922,126.8416,1533.462,185.9944,20775.9743,18191.9311,500.3036,12424.3
The River Murray at Barrages,2017-12-13,6561.514,116.4262,1429.0389,175.2749,19361.4962,17518.8114,465.0191,12498.2
The River Murray at Barrages,2017-12-14,4610.805,98.1669,1194.7955,149.5025,16187.2977,14381.637,392.5025,10342.9
The River Murray at Barrages,2017-12-15,4888.577,104.2688,1266.4545,161.6697,17158.5465,15042.0188,419.7885,11200.3
The River Murray at Barrages,2017-12-16,4763.725,103.2996,1224.1937,159.4137,16585.8095,14269.8044,409.7412,10865.1
The River Murray at Barrages,2017-12-17,5245.329,116.2456,1344.8779,178.9278,18220.7085,15307.3008,455.2538,11947.5
The River Murray at Barrages,2017-12-18,5704.238,127.5485,1439.2368,196.3368,19499.5517,15794.4859,494.4787,12405.5
The River Murray at Barrages,2017-12-19,4271.837,94.0743,1015.9637,142.3086,13764.8289,10517.731,355.2984,8837.6
The River Murray at Barrages,2017-12-20,3377.984,66.8454,714.8509,101.2988,9685.0973,7471.9118,250.5399,6135.5
The River Murray at Barrages,2017-12-21,3931.015,78.9186,822.7505,116.1091,11147.0933,8916.9784,285.6013,7398.3
The River Murray at Barrages,2017-12-22,3237.376,71.6509,654.7939,91.0845,8871.3544,6962.0118,225.0294,5827.4
The River Murray at Barrages,2017-12-23,2429.961,61.4841,484.6121,66.971,6565.5996,4849.646,166.3103,4305.5
The River Murray at Barrages,2017-12-24,2036.079,57.8408,433.4295,60.3989,5872.2474,4249.7239,149.2621,3707.8
The River Murray at Barrages,2017-12-25,2630.465,74.6396,550.5776,78.7805,7459.4127,5196.1697,192.5722,4728.4
The River Murray at Barrages,2017-12-26,2986.229,85.1122,618.4665,91.6081,8379.1096,5481.8633,221.1667,5007.3
The River Murray at Barrages,2017-12-27,2927.493,86.2404,609.2897,92.2412,8254.9821,5172.3616,220.7388,4848.3
The River Murray at Barrages,2017-12-28,2628.951,80.9885,549.2186,83.7674,7441.1074,4581.6456,199.5069,4532.8
The River Murray at Barrages,2017-12-29,2532.241,80.1485,524.8436,81.1975,7110.9692,4236.2092,192.132,4395.4
The River Murray at Barrages,2017-12-30,2024.718,67.6155,419.3078,65.3708,5680.895,3268.2976,154.0973,3624.4
The River Murray at Barrages,2017-12-31,2302.936,75.4444,457.8681,72.2296,6203.3237,3499.1117,169.2034,4063.3
The River Murray at Barrages,2018-01-01,2148.473,72.4431,424.5841,68.0551,5752.457,3102.9811,158.3761,3748.6
The River Murray at Barrages,2018-01-02,1649.973,64.6544,328.137,50.8494,4445.7424,2317.3885,121.3182,2769.6
The River Murray at Barrages,2018-01-03,1673.25,71.7634,331.5881,50.0704,4492.4116,2312.0461,121.9981,2783.9
The River Murray at Barrages,2018-01-04,1871.659,79.5717,362.1984,54.4503,4907.1638,2550.4741,134.1347,2990.8
The River Murray at Barrages,2018-01-05,2055.831,87.2702,394.248,59.2373,5341.4127,2791.8322,147.2525,3172.5
The River Murray at Barrages,2018-01-06,1737.217,76.4604,327.4292,48.1007,4436.1274,2360.4566,121.8724,2743.8
The River Murray at Barrages,2018-01-07,1664.492,75.8061,317.5172,45.9241,4301.8613,2353.2986,118.2346,2637.2
The River Murray at Barrages,2018-01-08,1314.973,47.0509,246.1642,36.9912,3335.1621,1970.2705,94.1865,2016.9
The River Murray at Barrages,2018-01-09,974.563,17.37,179.6596,29.0716,2434.0542,1597.4514,71.8976,1475.2
The River Murray at Barrages,2018-01-10,1209.036,21.6381,226.9623,36.512,3075.0528,2023.6094,91.2262,1850.5
The River Murray at Barrages,2018-01-11,1184.905,21.263,221.7197,35.3571,3003.9384,1984.0061,89.3646,1806.8
The River Murray at Barrages,2018-01-12,990.861,18.2571,187.357,29.4522,2538.4004,1698.5227,75.5306,1581.4
The River Murray at Barrages,2018-01-13,580.961,11.2486,112.0144,17.5281,1517.6179,1004.9907,45.3498,919.5
The River Murray at Barrages,2018-01-14,870.216,16.0869,163.652,24.6858,2217.1929,1564.91,65.7123,1356.8
The River Murray at Barrages,2018-01-15,1017.295,18.9908,194.3789,29.3961,2633.5639,1829.3613,78.6033,1535.1
The River Murray at Barrages,2018-01-16,1138.678,21.0797,220.1367,33.248,2982.4992,2053.8658,89.4796,1640.4
The River Murray at Barrages,2018-01-17,934.045,18.2182,181.6468,27.3793,2461.0128,1660.955,74.1395,1296.6
The River Murray at Barrages,2018-01-18,781.773,15.7767,152.7931,22.9193,2070.109,1380.6804,62.5467,1051.6
The River Murray at Barrages,2018-01-19,692.422,13.9767,135.9618,20.0695,1842.0221,1248.2946,55.6348,938.5
The River Murray at Barrages,2018-01-20,641.695,12.9879,126.9721,18.5392,1720.2837,1173.0016,52.0201,842.9
The River Murray at Barrages,2018-01-21,685.033,13.4408,134.2399,19.3783,1818.7172,1252.831,55.0625,882.7
The River Murray at Barrages,2018-01-22,556.024,10.8315,107.6983,15.0616,1459.1359,1043.2902,43.9964,758.3
The River Murray at Barrages,2018-01-23,613.85,11.5098,117.2301,16.0865,1588.2894,1159.6229,47.8774,846.8
The River Murray at Barrages,2018-01-24,581.519,10.7981,111.391,15.0455,1509.1734,1115.9052,45.5143,804.2
The River Murray at Barrages,2018-01-25,572.109,10.5767,110.9324,14.8524,1502.971,1114.701,45.418,793.2
The River Murray at Barrages,2018-01-26,640.658,11.5629,124.6527,16.6323,1688.8579,1249.7076,51.1896,846.7
The River Murray at Barrages,2018-01-27,619.148,11.2218,123.1559,16.1246,1668.5645,1256.1092,50.5704,861.0
The River Murray at Barrages,2018-01-28,577.097,10.2468,113.6763,14.7588,1540.1264,1160.4755,46.758,776.6
The River Murray at Barrages,2018-01-29,441.626,7.9947,89.156,11.2398,1207.9261,934.1295,36.6098,597.6
The River Murray at Barrages,2018-01-30,517.483,9.0464,104.8484,13.0277,1420.5316,1113.89,43.1024,721.5
The River Murray at Barrages,2018-01-31,809.441,13.6937,164.6423,21.1345,2230.6626,1674.9475,68.1867,1044.2
The River Murray at Barrages,2018-02-01,846.524,13.9711,171.2716,21.6476,2320.4141,1763.5272,70.9524,1079.4
The River Murray at Barrages,2018-02-02,862.693,14.3222,179.433,22.554,2431.035,1809.2226,74.6235,1103.8
The River Murray at Barrages,2018-02-03,897.341,14.8092,190.0171,23.684,2574.4797,1881.8272,79.3325,1126.8
The River Murray at Barrages,2018-02-04,895.91,14.5939,191.7446,23.5411,2597.7827,1879.6118,80.2893,1143.8
The River Murray at Barrages,2018-02-05,858.081,13.8829,186.6482,22.6154,2528.7797,1805.1999,78.4284,1077.6
The River Murray at Barrages,2018-02-06,845.82,13.503,186.4566,22.2173,2526.2305,1789.2307,78.5764,1063.8
The River Murray at Barrages,2018-02-07,790.189,12.7812,181.3658,21.1168,2457.2292,1743.3873,76.5253,1084.7
The River Murray at Barrages,2018-02-08,732.252,11.4982,167.4454,19.0736,2268.6209,1608.471,70.7429,1034.1
The River Murray at Barrages,2018-02-09,726.592,11.1394,167.3144,18.5797,2266.8688,1618.711,70.6826,1093.6
The River Murray at Barrages,2018-02-10,599.345,8.9487,137.2472,15.0959,1859.4964,1294.9588,58.2867,843.5
The River Murray at Barrages,2018-02-11,611.776,8.8627,140.8802,15.06,1908.6979,1348.9541,59.7231,909.9
The River Murray at Barrages,2018-02-12,659.742,9.2378,150.9391,15.9169,2044.9463,1423.7033,64.2489,957.3
The River Murray at Barrages,2018-02-13,620.322,8.6028,143.4441,15.003,1943.4471,1298.9515,61.5455,935.0
The River Murray at Barrages,2018-02-14,114.84,1.5131,27.0581,2.6917,366.5918,237.2114,11.5015,55.7
The River Murray at Barrages,2018-02-15,350.905,4.6065,82.9621,8.3145,1123.9855,728.7536,35.7559,504.8
The River Murray at Barrages,2018-02-16,467.055,6.0374,108.5178,10.7664,1470.2463,927.5589,47.198,735.0
The River Murray at Barrages,2018-02-17,484.243,6.2689,113.4319,11.1201,1536.8543,910.2372,49.9604,748.2
The River Murray at Barrages,2018-02-18,500.205,6.4079,117.7821,11.285,1595.7291,936.917,52.0482,747.6
The River Murray at Barrages,2018-02-19,539.817,6.4774,123.2757,11.3565,1670.1958,1095.4866,53.3181,777.5
The River Murray at Barrages,2018-02-20,781.611,9.3583,179.6139,16.297,2433.5169,1578.0767,78.1549,1032.6
